-7.269240915775299072e-03,2.360812388360500336e-03,5.261681675910949707e-01,5.158493667840957642e-02,-1.480267010629177094e-02,8.715089559555053711e-01,4.874341189861297607e-01,3.397081419825553894e-02,1.831564903259277344e-01,1.517025101929903030e-02,-1.341822624206542969e+00,4.918735325336456299e-01,-4.020731747150421143e-01,-5.013405904173851013e-02,1.324948191642761230e+00,6.976649761199951172e-01,4.549044072628021240e-01,1.275419145822525024e-01,-3.613357618451118469e-02,1.778268665075302124e-01,1.115000024437904358e-01,-1.437903642654418945e-01,8.361547440290451050e-02,9.143283218145370483e-02,3.802082687616348267e-02,-1.317095756530761719e-01,1.115000024437904358e-01,-1.044092252850532532e-01,1.157512422651052475e-02
-8.289732970297336578e-03,7.117270957678556442e-03,5.247634053230285645e-01,5.896859243512153625e-02,-2.202592603862285614e-02,8.776181936264038086e-01,4.752092659473419189e-01,8.947108290158212185e-04,1.971180886030197144e-01,2.081421017646789551e-02,-1.325705409049987793e+00,5.267086029052734375e-01,-4.043199121952056885e-01,-2.650199830532073975e-02,1.327247977256774902e+00,6.664962768554687500e-01,4.488424062728881836e-01,1.558805704116821289e-01,-2.429824508726596832e-02,1.504759341478347778e-01,1.115000024437904358e-01,-1.500186473131179810e-01,7.693292200565338135e-02,1.299692839384078979e-01,5.080141127109527588e-02,-1.567917466163635254e-01,1.115000024437904358e-01,-1.241846010088920593e-01,1.094947475939989090e-02
-8.294359780848026276e-03,7.597485557198524475e-03,5.246415734291076660e-01,6.079297512769699097e-02,-2.311378717422485352e-02,8.795279264450073242e-01,4.713815748691558838e-01,-7.318614050745964050e-03,2.048157900571823120e-01,2.382369898259639740e-02,-1.324379086494445801e+00,5.367541909217834473e-01,-4.047082960605621338e-01,-1.776028797030448914e-02,1.327448964118957520e+00,6.561074852943420410e-01,4.481965005397796631e-01,1.599496304988861084e-01,-2.272125333547592163e-02,1.424693763256072998e-01,1.115000024437904358e-01,-1.494011580944061279e-01,7.605372369289398193e-02,1.369874030351638794e-01,5.166903510689735413e-02,-1.650141924619674683e-01,1.115000024437904358e-01,-1.264021992683410645e-01,1.132181938737630844e-02
-8.214633911848068237e-03,7.648315746337175369e-03,5.245912075042724609e-01,6.153592467308044434e-02,-2.352528087794780731e-02,8.800455331802368164e-01,4.702975451946258545e-01,-7.785615045577287674e-03,2.066555619239807129e-01,2.433460578322410583e-02,-1.323817253112792969e+00,5.386554598808288574e-01,-4.052568674087524414e-01,-1.603400893509387970e-02,1.327623248100280762e+00,6.533917784690856934e-01,4.474084377288818359e-01,1.614395529031753540e-01,-2.232311666011810303e-02,1.399962902069091797e-01,1.115000024437904358e-01,-1.491217464208602905e-01,7.585649192333221436e-02,1.392703205347061157e-01,5.196644738316535950e-02,-1.674164533615112305e-01,1.115000024437904358e-01,-1.268652081489562988e-01,1.085897069424390793e-02
-8.237038739025592804e-03,7.707454264163970947e-03,5.246651768684387207e-01,6.206234544515609741e-02,-2.369263954460620880e-02,8.802515864372253418e-01,4.698341190814971924e-01,-4.721263889223337173e-03,2.088623046875000000e-01,2.500785328447818756e-02,-1.324010252952575684e+00,5.393221974372863770e-01,-4.049403369426727295e-01,-1.519894599914550781e-02,1.328149914741516113e+00,6.516715884208679199e-01,4.452677071094512939e-01,1.626127958297729492e-01,-2.245912328362464905e-02,1.390047073364257812e-01,1.115000024437904358e-01,-1.488013267517089844e-01,7.580435276031494141e-02,1.407652944326400757e-01,5.176908150315284729e-02,-1.681956052780151367e-01,1.115000024437904358e-01,-1.262394785881042480e-01,1.051351148635149002e-02
-8.192911744117736816e-03,7.614177651703357697e-03,5.246822237968444824e-01,6.265966594219207764e-02,-2.398768439888954163e-02,8.802351355552673340e-01,4.697706699371337891e-01,-1.369836041703820229e-03,2.103510349988937378e-01,2.564756199717521667e-02,-1.323875904083251953e+00,5.394449830055236816e-01,-4.054011404514312744e-01,-1.540608424693346024e-02,1.328546643257141113e+00,6.502726078033447266e-01,4.434848427772521973e-01,1.638681441545486450e-01,-2.250654064118862152e-02,1.392602175474166870e-01,1.115000024437904358e-01,-1.492214351892471313e-01,7.541079819202423096e-02,1.420576274394989014e-01,5.167017504572868347e-02,-1.681673526763916016e-01,1.115000024437904358e-01,-1.259488761425018311e-01,1.053892169147729874e-02
-8.255077525973320007e-03,7.546501234173774719e-03,5.247225165367126465e-01,6.298515200614929199e-02,-2.420573122799396515e-02,8.803701996803283691e-01,4.694626927375793457e-01,3.883910598233342171e-03,2.119477689266204834e-01,2.511359006166458130e-02,-1.323576092720031738e+00,5.400767922401428223e-01,-4.061785936355590820e-01,-1.542153768241405487e-02,1.328319787979125977e+00,6.498338580131530762e-01,4.415055811405181885e-01,1.645636856555938721e-01,-2.256908826529979706e-02,1.386341154575347900e-01,1.115000024437904358e-01,-1.494775414466857910e-01,7.556691765785217285e-02,1.429935395717620850e-01,5.158565193414688110e-02,-1.686716526746749878e-01,1.115000024437904358e-01,-1.255795061588287354e-01,1.105840597301721573e-02
-8.609007112681865692e-03,7.785317488014698029e-03,5.247829556465148926e-01,6.287447363138198853e-02,-2.415621839463710785e-02,8.807331919670104980e-01,4.687988460063934326e-01,7.257972378283739090e-03,2.127828001976013184e-01,2.553904056549072266e-02,-1.324398756027221680e+00,5.402817130088806152e-01,-4.053539037704467773e-01,-1.371405832469463348e-02,1.327966213226318359e+00,6.494395136833190918e-01,4.379657208919525146e-01,1.649104505777359009e-01,-2.282794378697872162e-02,1.378573626279830933e-01,1.115000024437904358e-01,-1.500424742698669434e-01,7.578960806131362915e-02,1.438812911510467529e-01,5.137367174029350281e-02,-1.693920940160751343e-01,1.115000024437904358e-01,-1.255641877651214600e-01,1.136783696711063385e-02
-8.914114907383918762e-03,8.013036102056503296e-03,5.248644351959228516e-01,6.291269510984420776e-02,-2.407602220773696899e-02,8.809292316436767578e-01,4.684292972087860107e-01,1.066962629556655884e-02,2.135984599590301514e-01,2.660774812102317810e-02,-1.324943304061889648e+00,5.402420759201049805e-01,-4.049272537231445312e-01,-1.220047660171985626e-02,1.328262090682983398e+00,6.478102803230285645e-01,4.351364076137542725e-01,1.655518561601638794e-01,-2.326554246246814728e-02,1.372638493776321411e-01,1.115000024437904358e-01,-1.501371413469314575e-01,7.602470368146896362e-02,1.448301076889038086e-01,5.091534554958343506e-02,-1.695779561996459961e-01,1.115000024437904358e-01,-1.255203187465667725e-01,1.194659899920225143e-02
-8.835375308990478516e-03,7.898429408669471741e-03,5.249106884002685547e-01,6.341150403022766113e-02,-2.414513193070888519e-02,8.811376094818115234e-01,4.679663479328155518e-01,1.392917428165674210e-02,2.146588116884231567e-01,2.567810565233230591e-02,-1.324769854545593262e+00,5.420030355453491211e-01,-4.049810469150543213e-01,-1.257540099322795868e-02,1.328486204147338867e+00,6.476946473121643066e-01,4.319630563259124756e-01,1.661209315061569214e-01,-2.352938987314701080e-02,1.371679455041885376e-01,1.115000024437904358e-01,-1.502916216850280762e-01,7.594254612922668457e-02,1.456907838582992554e-01,5.051862075924873352e-02,-1.700351834297180176e-01,1.115000024437904358e-01,-1.250496059656143188e-01,1.163245085626840591e-02
-9.187880903482437134e-03,7.819518446922302246e-03,5.250008702278137207e-01,6.314696371555328369e-02,-2.412624657154083252e-02,8.812016844749450684e-01,4.678824841976165771e-01,1.577281206846237183e-02,2.156860530376434326e-01,2.588547021150588989e-02,-1.326253294944763184e+00,5.426861643791198730e-01,-4.048184752464294434e-01,-1.289308071136474609e-02,1.327913403511047363e+00,6.467790007591247559e-01,4.291527569293975830e-01,1.657919883728027344e-01,-2.409623935818672180e-02,1.365745663642883301e-01,1.115000024437904358e-01,-1.503413617610931396e-01,7.682013511657714844e-02,1.454580128192901611e-01,4.999269172549247742e-02,-1.697704643011093140e-01,1.115000024437904358e-01,-1.239435672760009766e-01,1.170178130269050598e-02
-9.482709690928459167e-03,7.590755354613065720e-03,5.250300168991088867e-01,6.313969939947128296e-02,-2.427786216139793396e-02,8.814647793769836426e-01,4.673797488212585449e-01,1.775827072560787201e-02,2.172593325376510620e-01,2.578364498913288116e-02,-1.327555894851684570e+00,5.422051548957824707e-01,-4.068253040313720703e-01,-1.273814868181943893e-02,1.327345967292785645e+00,6.453629732131958008e-01,4.278115928173065186e-01,1.656250506639480591e-01,-2.453369088470935822e-02,1.360440105199813843e-01,1.115000024437904358e-01,-1.506258994340896606e-01,7.736075669527053833e-02,1.456914991140365601e-01,4.951299726963043213e-02,-1.697079837322235107e-01,1.115000024437904358e-01,-1.232109144330024719e-01,1.176787260919809341e-02
